Date,Open,High,Low,Close,Volume,Adj Close
2016-12-09,2024.52002,2026.829956,2019.790039,2024.689941,225700,2024.689941
2016-12-08,2008.310059,2031.069946,2007.569946,2031.069946,239400,2031.069946
2016-12-07,1995.689941,1997.619995,1987.26001,1991.890015,204400,1991.890015
2016-12-06,1976.51001,1993.469971,1976.51001,1989.859985,214600,1989.859985
2016-12-05,1965.709961,1971.23999,1960.650024,1963.359985,237200,1963.359985
2016-12-02,1980.140015,1981.640015,1966.420044,1970.609985,243200,1970.609985
2016-12-01,1987.47998,1989.079956,1979.670044,1983.75,217900,1983.75
2016-11-30,1980.380005,1988.439941,1977.089966,1983.47998,233100,1983.47998
2016-11-29,1977.099976,1982.530029,1972.310059,1978.390015,214600,1978.390015
2016-11-28,1976.579956,1983.430054,1966.780029,1978.130005,213600,1978.130005
2016-11-25,1972.599976,1978.449951,1969.089966,1974.459961,201900,1974.459961
2016-11-24,1985.109985,1988.959961,1968.50,1971.26001,235400,1971.26001
2016-11-23,1987.640015,1996.650024,1981.219971,1987.949951,308200,1987.949951
2016-11-22,1976.069946,1986.819946,1974.050049,1983.469971,231400,1983.469971
2016-11-21,1971.030029,1976.22998,1962.420044,1966.050049,223500,1966.050049
2016-11-18,1983.069946,1983.26001,1968.130005,1974.579956,307000,1974.579956
2016-11-17,1976.209961,1983.869995,1968.800049,1980.550049,272200,1980.550049
2016-11-16,1980.819946,1985.670044,1976.630005,1979.650024,306500,1979.650024
2016-11-15,1977.329956,1978.939941,1967.209961,1967.530029,375700,1967.530029
2016-11-14,1982.930054,1988.650024,1974.27002,1974.400024,352100,1974.400024
2016-11-11,1988.869995,1994.050049,1982.150024,1984.430054,386900,1984.430054
2016-11-10,1989.849976,2002.599976,1983.26001,2002.599976,433900,2002.599976
2016-11-09,2008.079956,2015.22998,1931.069946,1958.380005,709000,1958.380005
2016-11-08,2009.560059,2010.170044,1994.329956,2003.380005,239600,2003.380005
2016-11-07,1997.579956,2001.73999,1992.140015,1997.579956,210300,1997.579956
2016-11-04,1983.869995,1985.290039,1976.569946,1982.02002,227800,1982.02002
2016-11-03,1974.930054,1988.819946,1973.579956,1983.800049,272700,1983.800049
2016-11-02,1995.410034,1997.459961,1976.339966,1978.939941,333500,1978.939941
2016-11-01,2003.410034,2010.51001,1990.449951,2007.390015,321800,2007.390015
2016-10-31,2011.290039,2016.01001,2005.949951,2008.189941,400700,2008.189941
2016-10-28,2021.969971,2026.849976,2015.719971,2019.420044,270500,2019.420044
2016-10-27,2018.23999,2026.329956,2015.660034,2024.119995,298700,2024.119995
2016-10-26,2030.369995,2030.369995,2002.290039,2013.890015,392400,2013.890015
2016-10-25,2042.290039,2042.650024,2031.25,2037.170044,299100,2037.170044
2016-10-24,2037.189941,2047.73999,2036.77002,2047.73999,252000,2047.73999
2016-10-21,2039.400024,2040.400024,2029.790039,2033.00,260400,2033.00
2016-10-20,2044.119995,2048.25,2036.540039,2040.599976,276000,2040.599976
2016-10-19,2036.180054,2050.51001,2035.900024,2040.939941,321900,2040.939941
2016-10-18,2027.810059,2040.719971,2026.469971,2040.430054,305900,2040.430054
2016-10-17,2028.930054,2033.560059,2011.810059,2027.609985,333400,2027.609985
2016-10-14,2021.660034,2028.76001,2021.109985,2022.660034,458900,2022.660034
2016-10-13,2033.98999,2035.930054,2014.890015,2015.439941,440300,2015.439941
2016-10-12,2022.969971,2037.02002,2022.390015,2033.72998,297400,2033.72998
2016-10-11,2053.290039,2060.780029,2030.51001,2031.930054,343200,2031.930054
2016-10-10,2047.189941,2058.72998,2039.98999,2056.820068,314900,2056.820068
2016-10-07,2065.949951,2067.48999,2051.600098,2053.800049,422400,2053.800049
2016-10-06,2069.300049,2070.429932,2055.830078,2065.300049,337700,2065.300049
2016-10-05,2043.369995,2056.01001,2036.869995,2053.00,292300,2053.00
2016-10-04,2056.939941,2059.25,2050.459961,2054.860107,318900,2054.860107
2016-09-30,2054.25,2056.330078,2042.77002,2043.630005,326400,2043.630005
2016-09-29,2063.73999,2072.090088,2063.73999,2068.719971,416200,2068.719971
2016-09-28,2062.570068,2062.97998,2051.679932,2053.060059,546500,2053.060059
2016-09-27,2037.319946,2064.889893,2031.130005,2062.820068,664000,2062.820068
2016-09-26,2052.76001,2060.709961,2042.699951,2047.109985,359600,2047.109985
2016-09-23,2053.219971,2057.350098,2048.959961,2054.070068,494100,2054.070068
2016-09-22,2050.310059,2060.26001,2048.800049,2049.699951,447600,2049.699951
2016-09-21,2022.810059,2035.98999,2021.780029,2035.98999,525100,2035.98999
2016-09-20,2014.50,2026.560059,2010.25,2025.709961,362300,2025.709961
2016-09-19,1997.430054,2019.449951,1997.099976,2015.780029,434400,2015.780029
2016-09-13,2011.930054,2013.030029,1997.579956,1999.359985,437400,1999.359985
2016-09-12,2003.670044,2011.040039,1991.469971,1991.47998,422900,1991.47998
2016-09-09,2048.939941,2049.300049,2029.459961,2037.869995,392700,2037.869995
2016-09-08,2064.959961,2070.659912,2053.199951,2063.72998,656700,2063.72998
2016-09-07,2068.810059,2073.889893,2061.879883,2061.879883,687200,2061.879883
2016-09-06,2058.209961,2067.77002,2057.26001,2066.530029,462500,2066.530029
2016-09-05,2049.189941,2061.00,2047.48999,2060.080078,573000,2060.080078
2016-09-02,2033.920044,2039.180054,2030.170044,2038.310059,342600,2038.310059
2016-09-01,2022.959961,2032.719971,2016.469971,2032.719971,300500,2032.719971
2016-08-31,2038.579956,2041.170044,2027.23999,2034.650024,401000,2034.650024
2016-08-30,2038.599976,2049.98999,2036.76001,2039.73999,378600,2039.73999
2016-08-29,2028.640015,2034.630005,2024.930054,2032.349976,317000,2032.349976
2016-08-26,2036.73999,2039.910034,2027.680054,2037.50,288200,2037.50
2016-08-25,2041.579956,2046.00,2035.01001,2042.920044,277400,2042.920044
2016-08-24,2050.820068,2052.73999,2039.530029,2043.76001,285200,2043.76001
2016-08-23,2044.27002,2051.429932,2041.859985,2049.929932,360400,2049.929932
2016-08-22,2054.370117,2054.709961,2040.51001,2042.160034,343500,2042.160034
2016-08-19,2057.899902,2059.300049,2049.52002,2056.23999,392300,2056.23999
2016-08-18,2048.149902,2056.090088,2041.900024,2055.469971,353100,2055.469971
2016-08-17,2045.369995,2048.290039,2032.530029,2043.75,391700,2043.75
2016-08-16,2056.00,2063.090088,2047.72998,2047.76001,374900,2047.76001
2016-08-12,2053.820068,2060.840088,2046.150024,2050.469971,376500,2050.469971
2016-08-11,2042.640015,2048.800049,2035.25,2048.800049,346100,2048.800049
2016-08-10,2043.030029,2049.360107,2039.859985,2044.640015,331100,2044.640015
2016-08-09,2033.52002,2046.030029,2032.180054,2043.780029,436700,2043.780029
2016-08-08,2025.550049,2031.140015,2018.810059,2031.119995,270500,2031.119995
2016-08-05,2006.22998,2018.160034,2004.369995,2017.939941,289300,2017.939941
2016-08-04,2006.079956,2006.47998,1994.72998,2000.030029,326500,2000.030029
2016-08-03,2008.680054,2008.680054,1993.00,1994.790039,485900,1994.790039
2016-08-02,2023.550049,2026.099976,2017.589966,2019.030029,409900,2019.030029
2016-08-01,2024.709961,2031.579956,2024.569946,2029.609985,369600,2029.609985
2016-07-29,2023.23999,2028.98999,2016.189941,2016.189941,366400,2016.189941
2016-07-28,2029.069946,2029.380005,2014.359985,2021.099976,350900,2021.099976
2016-07-27,2027.069946,2030.689941,2021.150024,2025.050049,411700,2025.050049
2016-07-26,2009.400024,2027.339966,2008.25,2027.339966,338600,2027.339966
2016-07-25,2014.73999,2020.689941,2006.630005,2012.319946,350200,2012.319946
2016-07-22,2005.369995,2014.439941,2002.660034,2010.339966,321000,2010.339966
2016-07-21,2019.359985,2020.550049,2007.589966,2012.219971,391000,2012.219971
2016-07-20,2013.400024,2015.469971,2003.869995,2015.459961,316300,2015.459961
2016-07-19,2022.800049,2023.219971,2010.27002,2016.890015,380800,2016.890015
2016-07-18,2018.219971,2022.109985,2012.300049,2021.109985,380100,2021.109985
2016-07-15,2015.369995,2022.339966,2011.099976,2017.26001,477800,2017.26001
2016-07-14,2004.119995,2009.670044,1997.939941,2008.77002,340200,2008.77002
2016-07-13,2007.650024,2013.599976,1995.839966,2005.550049,357600,2005.550049
2016-07-12,1991.130005,1998.030029,1986.449951,1991.22998,432700,1991.22998
2016-07-11,1979.359985,1990.949951,1977.810059,1988.540039,337800,1988.540039
2016-07-08,1972.280029,1979.75,1956.910034,1963.099976,356500,1963.099976
2016-07-07,1963.300049,1976.48999,1959.829956,1974.079956,378800,1974.079956
2016-07-06,1980.109985,1982.800049,1944.329956,1953.119995,457400,1953.119995
2016-07-05,1995.689941,1996.77002,1985.939941,1989.849976,405500,1989.849976
2016-07-04,1989.439941,1997.369995,1985.109985,1995.300049,468600,1995.300049
2016-07-01,1977.359985,1993.97998,1975.890015,1987.319946,448100,1987.319946
2016-06-30,1971.540039,1972.810059,1959.280029,1970.349976,349900,1970.349976
2016-06-29,1946.310059,1966.209961,1941.900024,1956.359985,451200,1956.359985
2016-06-28,1907.709961,1937.98999,1907.48999,1936.219971,373500,1936.219971
2016-06-27,1901.849976,1926.869995,1900.829956,1926.849976,394300,1926.849976
2016-06-24,2001.550049,2001.550049,1892.75,1925.23999,750500,1925.23999
2016-06-23,1989.420044,1990.709961,1980.140015,1986.709961,455400,1986.709961
2016-06-22,1981.780029,1994.76001,1979.369995,1992.579956,407400,1992.579956
2016-06-21,1977.800049,1983.869995,1971.98999,1982.699951,557400,1982.699951
2016-06-20,1974.430054,1984.069946,1969.560059,1981.119995,391300,1981.119995
2016-06-17,1966.22998,1970.540039,1949.599976,1953.400024,485300,1953.400024
2016-06-16,1971.530029,1974.01001,1944.800049,1951.98999,438800,1951.98999
2016-06-15,1972.00,1975.869995,1960.969971,1968.829956,376800,1968.829956
2016-06-14,1976.800049,1982.319946,1965.339966,1972.030029,439900,1972.030029
2016-06-13,2001.030029,2001.790039,1976.689941,1979.060059,443000,1979.060059
2016-06-10,2022.77002,2022.77002,2014.150024,2017.630005,404300,2017.630005
2016-06-09,2028.02002,2035.27002,2012.140015,2024.170044,599700,2024.170044
2016-06-08,2013.719971,2027.089966,2008.589966,2027.079956,497900,2027.079956
2016-06-07,1993.079956,2011.670044,1992.77002,2011.630005,481300,2011.630005
2016-06-03,1991.579956,1991.579956,1979.660034,1985.839966,540900,1985.839966
